"Date","DissolvedOxygenppm","DissolvedOxygenppm_Qual","WaterTemperature","WaterTemperature_Qual"
"13:21:00 07/05/2013",10.09,15,10.9,2
"13:21:00 08/05/2013",9.953,15,11.6,2
"13:21:00 09/05/2013",10.416,15,11.3,2
"13:21:00 10/01/2009",9.799,2,NA,NA
"13:21:00 10/05/2013",10.478,15,11.7,2
"13:21:00 11/05/2013",10.341,15,12.4,2
"13:21:00 12/05/2013",10.304,15,12.4,2
"13:21:00 13/05/2013",10.167,15,12.9,2
"13:21:00 14/05/2013",10.33,15,12.1,2
"13:21:00 15/05/2013",10.393,15,12.2,2
"13:21:00 31/05/2013",10.3,2,11.8,2
"13:22:30 10/08/2012",NA,NA,NA,151
"13:24:00 01/05/2013",9.713,15,12.6,2
"13:24:00 02/05/2013",9.875,15,11.9,2
"13:24:00 03/05/2013",9.938,15,11.5,2
"13:24:00 04/05/2013",9.901,15,11.5,2
"13:24:00 05/05/2013",9.864,15,11.5,2
"13:24:00 06/05/2013",10.027,15,11.2,2
"13:24:00 07/05/2013",10.09,15,10.9,2
"13:24:00 08/05/2013",9.953,15,11.6,2
"13:24:00 09/05/2013",10.416,15,11.3,2
"13:24:00 10/05/2013",10.479,15,11.7,2
"13:24:00 11/05/2013",10.341,15,12.4,2
"13:24:00 12/05/2013",10.304,15,12.4,2
"13:24:00 13/05/2013",10.167,15,12.9,2
"13:24:00 14/05/2013",10.33,15,12.1,2
"13:24:00 15/05/2013",10.393,15,12.2,2
"13:25:00 06/01/2009",NA,NA,23,2
"13:25:00 09/01/2009",9.115,2,NA,NA
"13:26:00 06/01/2009",NA,NA,23.1,2
"13:26:00 09/01/2009",9.215,2,NA,NA
"13:26:00 17/12/2009",7.4,2,24.2,2
"13:26:00 24/09/2013",9.9,2,15.4,2
"13:27:00 01/05/2013",9.713,15,12.6,2
"13:27:00 02/05/2013",9.876,15,11.9,2
"13:27:00 03/05/2013",9.938,15,11.5,2
"13:27:00 04/05/2013",10.001,15,11.5,2
"13:27:00 05/05/2013",9.864,15,11.6,2
"13:27:00 06/05/2013",10.027,15,11.2,2
"13:27:00 07/05/2013",10.09,15,10.9,2
"13:27:00 08/05/2013",9.953,15,11.6,2
"13:27:00 09/05/2013",10.416,15,11.4,2
"13:27:00 10/05/2013",10.479,15,11.7,2
"13:27:00 11/05/2013",10.342,15,12.4,2
"13:27:00 12/05/2013",10.304,15,12.4,2
"13:27:00 13/05/2013",10.167,15,12.9,2
"13:27:00 14/05/2013",10.33,15,12.1,2
"13:27:00 15/05/2013",10.393,15,12.2,2
"13:27:00 30/12/2008",NA,NA,21.7,2
"13:28:00 30/12/2008",NA,NA,21.8,2
"13:29:00 28/12/2008",NA,NA,22.9,2
"13:30:00 01/02/2012",NA,161,22,2
"13:30:00 01/04/2007",5.752,2,18,2
"13:30:00 01/04/2013",8.109,100,18.4,2
"13:30:00 01/05/2013",9.713,15,12.6,2
"13:30:00 01/07/2006",NA,NA,8.5,2
"13:30:00 01/09/2007",8.868,2,12.4,2
"13:30:00 01/09/2008",9.89,2,12.4,2
"13:30:00 01/10/2006",10.563,2,14.7,2
"13:30:00 01/10/2008",8.669,2,14,2
"13:30:00 01/11/2006",8.009,2,18.5,2
"13:30:00 01/12/2006",6.267,2,22.5,2
"13:30:00 01/12/2008",8.252,2,19.6,2
"13:30:00 02/01/2007",5.278,2,23.5,2
"13:30:00 02/03/2007",4.883,2,24.3,2
"13:30:00 02/03/2012",7.251,2,20.8,2
"13:30:00 02/04/2006",7.45,2,16.4,2
"13:30:00 02/05/2007",5.33,2,16.9,2
"13:30:00 02/05/2013",9.876,15,12,2
"13:30:00 02/07/2006",10.2,2,9.4,2
"13:30:00 02/09/2006",8.507,2,13.8,2
"13:30:00 02/11/2008",7.094,2,19.3,2
"13:30:00 02/11/2012",8.5,2,18.2,2
"13:30:00 02/12/2007",7.808,2,21.5,2
"13:30:00 02/12/2012",5.363,2,23.5,2
"13:30:00 03/01/2007",5.149,2,NA,NA
"13:30:00 03/02/2011",4.453,100,25.3,2
"13:30:00 03/02/2012",NA,161,22.9,2
"13:30:00 03/03/2006",NA,180,NA,170
"13:30:00 03/03/2007",4.6,2,24.1,2
"13:30:00 03/03/2012",6.948,2,18.2,2
"13:30:00 03/05/2013",9.939,15,11.5,2
"13:30:00 03/06/2006",9.342,2,11.6,2
"13:30:00 03/08/2008",10.331,2,10.7,2
"13:30:00 03/10/2010",8.323,2,15.4,2
"13:30:00 04/01/2007",NA,NA,25.1,2
"13:30:00 04/02/2007",5.982,2,23.7,2
"13:30:00 04/03/2006",NA,NA,NA,170
"13:30:00 04/04/2007",5.156,2,18.1,2
"13:30:00 04/04/2013",8.306,100,17.7,2
"13:30:00 04/05/2013",10.002,15,11.5,2
"13:30:00 04/08/2010",10.905,15,10.1,2
"13:30:00 04/11/2006",7.236,2,19.5,2
"13:30:00 04/11/2012",7.8,2,20,2
"13:30:00 04/12/2006",6.493,2,21.2,2
"13:30:00 05/02/2007",5.701,2,24.3,2
"13:30:00 05/03/2007",4.532,2,22,2
"13:30:00 05/05/2013",9.864,15,11.6,2
"13:30:00 05/06/2006",9.663,2,11.3,2
"13:30:00 05/10/2010",7.75,2,16.1,2
"13:30:00 06/01/2007",5.06,2,25.4,2
"13:30:00 06/02/2007",5.32,2,23.2,2
"13:30:00 06/02/2012",NA,161,21.7,2
"13:30:00 06/03/2006",NA,180,NA,170
"13:30:00 06/04/2007",5.925,2,17.3,2
"13:30:00 06/04/2010",6.528,2,19,2
"13:30:00 06/05/2013",10.027,15,11.2,2
"13:30:00 06/07/2006",9.8,2,10.1,2
"13:30:00 06/09/2006",NA,NA,13.2,2
"13:30:00 06/10/2010",7.913,2,16.4,2
"13:30:00 06/11/2012",8.3,2,19.6,2
"13:30:00 06/12/2006",5.976,2,22.1,2
"13:30:00 07/02/2007",4.739,2,21.5,2
"13:30:00 07/02/2008",5.049,2,23.7,2
"13:30:00 07/02/2012",NA,161,21.8,2
"13:30:00 07/03/2007",5.265,2,20.4,2
"13:30:00 07/03/2008",5.146,2,19.6,2
"13:30:00 07/05/2007",5.628,2,15.9,2
"13:30:00 07/05/2012",8.878,2,13.3,2
"13:30:00 07/05/2013",10.09,15,10.9,2
"13:30:00 07/07/2010",10.753,15,9.3,2
"13:30:00 07/09/2006",9.338,2,13.2,2
"13:30:00 07/12/2006",6.146,2,21.7,2
"13:30:00 08/01/2007",5.701,2,NA,NA
"13:30:00 08/02/2007",6.358,2,21.2,2
"13:30:00 08/03/2007",4.981,2,20.8,2
"13:30:00 08/04/2006",8.3,2,14.3,2
"13:30:00 08/05/2007",5.688,2,16.3,2
"13:30:00 08/05/2013",10.053,15,11.6,2
"13:30:00 08/09/2006",9.304,2,12.9,2
"13:30:00 08/10/2008",7.77,2,15.5,2
"13:30:00 08/11/2006",7.271,2,NA,NA
"13:30:00 08/11/2011",7.111,15,19.3,2
"13:30:00 08/12/2006",6.317,2,21.6,2
"13:30:00 09/01/2007",5.972,2,NA,NA
"13:30:00 09/02/2007",6.777,2,21.8,2
"13:30:00 09/05/2013",10.416,15,11.4,2
"13:30:00 09/07/2006",9.9,2,10.1,2
"13:30:00 09/10/2008",7.156,2,15.2,2
"13:30:00 09/11/2006",7.479,2,17.9,2
"13:30:00 10/01/2007",6.042,2,21.4,2
"13:30:00 10/02/2008",6.13,2,22.1,2
"13:30:00 10/03/2007",5.814,2,NA,NA
"13:30:00 10/04/2007",6.364,2,16.5,2
"13:30:00 10/04/2013",7.799,100,19.2,2
"13:30:00 10/05/2013",10.479,15,11.7,2
"13:30:00 10/06/2006",10.314,2,9,2
"13:30:00 10/09/2006",NA,NA,13.6,2
"13:30:00 10/12/2006",4.758,2,21.9,2
"13:30:00 10/12/2007",5.402,2,21,2
"13:30:00 11/01/2009",NA,NA,20.4,2
"13:30:00 11/02/2008",NA,NA,21.8,2
"13:30:00 11/03/2007",5.831,2,20.1,2
"13:30:00 11/04/2008",7.699,2,18.2,2
"13:30:00 11/04/2010",6.719,2,18,2
"13:30:00 11/05/2013",10.342,15,12.4,2
"13:30:00 11/09/2008",7.649,2,13.5,2
"13:30:00 11/11/2006",7.096,2,19.8,2
"13:30:00 11/11/2012",8.4,2,20.6,2
"13:30:00 11/12/2006",4.328,2,22.5,2
"13:30:00 12/01/2007",5.483,2,21.3,2
"13:30:00 12/02/2008",5.151,2,21.9,2
"13:30:00 12/02/2010",4.268,2,24.6,2
"13:30:00 12/03/2011",5.659,100,22,2
"13:30:00 12/04/2007",5.733,2,17.1,2
"13:30:00 12/05/2008",7.339,2,14.6,2
"13:30:00 12/05/2013",10.305,15,12.4,2
"13:30:00 12/08/2008",10.992,2,10.6,2
"13:30:00 12/09/2006",9.869,2,13.4,2
"13:30:00 12/09/2007",8.867,2,13.5,2
"13:30:00 12/09/2008",7.355,2,14.4,2
"13:30:00 12/12/2006",4.899,2,19.9,2
"13:30:00 13/02/2012",NA,161,21.5,2
"13:30:00 13/05/2013",10.167,15,12.9,2
"13:30:00 13/09/2007",8.875,2,13.6,2
"13:30:00 13/10/2008",5,2,17.8,2
"13:30:00 13/11/2007",9.505,2,18.9,2
"13:30:00 13/12/2008",5.488,2,21.1,2
"13:30:00 14/02/2010",4.045,2,24.3,2
"13:30:00 14/02/2011",3.252,100,23.1,2
"13:30:00 14/03/2013",NA,180,NA,180
"13:30:00 14/05/2013",10.33,15,12.1,2
"13:30:00 14/09/2006",9.601,2,14.4,2
"13:30:00 14/09/2007",8.984,2,13.2,2
"13:30:00 14/10/2008",5.386,2,17.6,2
"13:30:00 14/11/2006",7.222,2,18.5,2
"13:30:00 15/01/2007",NA,NA,22.3,2
"13:30:00 15/02/2010",7.433,2,23.1,2
"13:30:00 15/04/2007",5.737,2,17.6,2
"13:30:00 15/04/2010",7.291,2,16.5,2
"13:30:00 15/05/2006",9.347,2,12.7,2
"13:30:00 15/05/2013",10.393,15,12.2,2
"13:30:00 15/12/2006",6.21,2,20.4,2
"13:30:00 16/01/2007",5.765,2,23.4,2
"13:30:00 16/02/2008",5.092,2,22.6,2
"13:30:00 16/02/2010",7.822,2,22.6,2
"13:30:00 16/03/2007",5.112,2,21.4,2
"13:30:00 16/03/2010",4.935,2,21.8,2
"13:30:00 16/04/2006",8.582,2,14.2,2
"13:30:00 16/08/2006",7.988,2,11.2,2
"13:30:00 16/10/2006",8.392,2,17,2
"13:30:00 16/10/2008",8.857,2,17.6,2
"13:30:00 16/11/2006",7.739,2,NA,NA
"13:30:00 16/11/2007",8.386,2,20.8,2
"13:30:00 17/01/2007",4.436,2,23.9,2
"13:30:00 17/01/2010",7.363,2,22.6,2
"13:30:00 17/03/2006",6.802,2,19.1,2
"13:30:00 17/04/2006",8.847,2,13.6,2
"13:30:00 17/04/2010",7.426,2,17.2,2
"13:30:00 17/04/2011",8.236,2,17.6,2
"13:30:00 17/09/2006",9.899,2,14.3,2
"13:30:00 17/09/2008",10.485,2,13.5,2
"13:30:00 17/10/2006",9.18,2,17.4,2
"13:30:00 17/12/2006",6.451,2,21,2
"13:30:00 17/12/2008",8.183,100,19.5,2
"13:30:00 18/01/2007",6.132,2,NA,NA
"13:30:00 18/01/2009",7.648,2,23.7,2
"13:30:00 18/02/2008",6.113,2,23.2,2
"13:30:00 18/09/2006",9.465,2,15.5,2
"13:30:00 18/10/2007",7.271,2,16.8,2
"13:30:00 18/10/2010",8.973,2,14.6,2
"13:30:00 18/12/2006",NA,NA,20.4,2
"13:30:00 19/02/2007",4.803,2,NA,NA
"13:30:00 19/02/2011",3.061,100,23.5,2
"13:30:00 19/03/2007",5.861,2,19.8,2
"13:30:00 19/03/2010",4.707,2,22.3,2
"13:30:00 19/04/2010",8.362,2,17.8,2
"13:30:00 19/05/2006",9.521,2,13.2,2
"13:30:00 19/08/2006",7.808,2,11.7,2
"13:30:00 19/09/2006",10.332,2,16,2
"13:30:00 19/09/2007",9.429,2,12.2,2
"13:30:00 19/12/2006",5.792,2,22.2,2
"13:30:00 20/02/2007",4.92,2,25.6,2
"13:30:00 20/03/2007",4.878,2,NA,NA
"13:30:00 20/03/2008",4.882,2,21.1,2
"13:30:00 20/04/2006",8.641,2,14.8,2
"13:30:00 20/04/2010",8.58,2,18.1,2
"13:30:00 20/08/2006",7.848,2,11.6,2
"13:30:00 20/09/2006",9.298,2,15.8,2
"13:30:00 20/11/2007",6.56,2,22,2
"13:30:00 20/12/2006",5.962,2,21.9,2
"13:30:00 21/01/2011",6.927,100,24.4,2
"13:30:00 21/02/2007",4.936,2,25.4,2
"13:30:00 21/02/2010",5.664,2,24.9,2
"13:30:00 21/04/2006",8.8,2,14.2,2
"13:30:00 21/05/2006",9.008,2,12.3,2
"13:30:00 21/05/2007",7.364,2,13.4,2
"13:30:00 21/06/2006",10.828,2,8.7,2
"13:30:00 21/07/2008",9.807,2,10,2
"13:30:00 21/08/2006",7.788,2,12.1,2
"13:30:00 21/09/2006",8.864,2,15.7,2
"13:30:00 21/09/2010",9.859,15,13.2,2
"13:30:00 21/12/2006",5.533,2,21.6,2
"13:30:00 21/12/2008",NA,NA,19.9,2
"13:30:00 22/03/2008",6.242,2,18.6,2
"13:30:00 22/04/2006",9.043,2,13.7,2
"13:30:00 22/04/2007",5.333,2,17.4,2
"13:30:00 22/05/2006",9.452,2,12.1,2
"13:30:00 22/09/2006",10.43,2,15.6,2
"13:30:00 22/09/2008",9.615,2,16.2,2
"13:30:00 22/11/2007",6.448,2,NA,NA
"13:30:00 23/02/2008",7.915,2,20.4,2
"13:30:00 23/02/2010",6.94,2,22.3,2
"13:30:00 23/03/2006",6.811,2,19.4,2
"13:30:00 23/03/2007",4.44,2,23.1,2
"13:30:00 23/03/2010",6.304,2,20.9,2
"13:30:00 23/04/2006",8.688,2,14.3,2
"13:30:00 23/09/2010",9.582,2,13.7,2
"13:30:00 23/10/2006",9.211,2,17,2
"13:30:00 23/11/2006",6.599,2,22.1,2
"13:30:00 23/11/2007",6.241,2,21.5,2
"13:30:00 23/12/2006",4.074,2,NA,NA
"13:30:00 23/12/2010",8.303,100,20.4,2
"13:30:00 24/01/2008",4.829,2,23.6,2
"13:30:00 24/03/2006",6.963,2,19.6,2
"13:30:00 24/03/2007",3.375,2,21.5,2
"13:30:00 24/05/2007",8.043,2,12.7,2
"13:30:00 24/07/2007",10.464,2,7.7,2
"13:30:00 24/09/2008",11.167,2,14.4,2
"13:30:00 24/10/2006",9,2,17.8,2
"13:30:00 24/12/2012",6.486,2,24.5,2
"13:30:00 25/01/2007",6.291,2,22.9,2
"13:30:00 25/01/2008",5.265,2,22.8,2
"13:30:00 25/01/2010",5.978,2,22.4,2
"13:30:00 25/02/2007",5.001,2,23,2
"13:30:00 25/06/2006",10.269,2,8.9,2
"13:30:00 25/09/2006",10.328,2,14.1,2
"13:30:00 25/09/2007",8.284,2,14.6,2
"13:30:00 25/10/2012",6.872,2,17.9,2
"13:30:00 25/11/2007",7.228,2,19.3,2
"13:30:00 26/01/2007",6.31,2,22.7,2
"13:30:00 26/02/2010",6.963,2,23.8,2
"13:30:00 26/04/2008",7.512,2,16.3,2
"13:30:00 26/07/2006",8.4,2,11.4,2
"13:30:00 26/09/2006",10.994,2,14.2,2
"13:30:00 26/11/2007",7.122,2,19.9,2
"13:30:00 26/12/2011",6.701,2,22.5,2
"13:30:00 27/01/2007",5.629,2,21.8,2
"13:30:00 27/01/2008",4.986,2,25.2,2
"13:30:00 27/02/2010",5.425,2,23.9,2
"13:30:00 27/03/2006",6.816,2,19.7,2
"13:30:00 27/03/2008",6.441,2,17.2,2
"13:30:00 27/03/2010",5.7,2,21.1,2
"13:30:00 27/05/2006",8.77,2,12.7,2
"13:30:00 27/05/2011",8.899,2,NA,NA
"13:30:00 27/08/2006",8.427,2,11.8,2
"13:30:00 27/09/2009",10.022,2,13.7,2
"13:30:00 27/10/2006",8.566,2,17.1,2
"13:30:00 27/10/2008",8.706,2,17,2
"13:30:00 27/11/2006",6.533,2,21.8,2
"13:30:00 27/11/2008",7.927,2,18.9,2
"13:30:00 27/12/2011",7,2,22.6,2
"13:30:00 27/12/2012",6.622,2,24.4,2
"13:30:00 28/01/2007",6.448,2,20.2,2
"13:30:00 28/02/2008",7.084,2,19.2,2
"13:30:00 28/02/2012",7.187,2,23.2,2
"13:30:00 28/03/2006",6.342,2,18.9,2
"13:30:00 28/04/2008",9.268,2,14,2
"13:30:00 28/05/2006",9.014,2,12.2,2
"13:30:00 28/09/2006",11.097,2,15,2
"13:30:00 28/09/2012",9.506,2,13.8,2
"13:30:00 28/10/2008",8.287,2,16.9,2
"13:30:00 28/10/2012",8.491,2,17.6,2
"13:30:00 28/11/2006",6.342,2,22.6,2
"13:30:00 28/11/2007",6.91,2,20.5,2
"13:30:00 28/11/2009",6.954,2,23.1,2
"13:30:00 28/12/2006",6.726,2,20.3,2
"13:30:00 28/12/2008",NA,NA,23,2
"13:30:00 28/12/2011",NA,161,23,2
"13:30:00 29/01/2007",6.767,2,20.9,2
"13:30:00 29/03/2007",4.848,2,19,2
"13:30:00 29/03/2012",7.969,2,19.1,2
"13:30:00 29/04/2006",8.849,2,14,2
"13:30:00 29/04/2007",5.551,2,16.5,2
"13:30:00 29/04/2010",NA,180,16.5,2
"13:30:00 29/05/2006",9.158,2,12,2
"13:30:00 29/09/2006",10.286,2,15.2,2
"13:30:00 29/10/2006",8.843,2,15.9,2
"13:30:00 29/10/2007",7.801,2,18.7,2
"13:30:00 29/10/2008",7.968,2,18.3,2
"13:30:00 29/10/2010",NA,180,NA,180
"13:30:00 29/11/2006",6.15,2,22.3,2
"13:30:00 29/12/2006",6.497,2,21.2,2
"13:30:00 29/12/2012",7.145,2,21.8,2
"13:30:00 30/01/2007",7.086,2,21.5,2
"13:30:00 30/01/2009",NA,180,NA,180
"13:30:00 30/03/2007",4.883,2,17.7,2
"13:30:00 30/05/2007",NA,NA,12.4,2
"13:30:00 30/07/2010",11.314,15,9.4,2
"13:30:00 30/08/2006",8.109,2,12.6,2
"13:30:00 30/10/2012",8,2,20.3,2
"13:30:00 30/11/2006",6.459,2,21.2,2
"13:30:00 30/11/2012",6.239,2,24.4,2
"13:30:00 31/01/2007",6.905,2,22.3,2
"13:30:00 31/03/2006",6.767,2,18.5,2
"13:30:00 31/03/2007",5.617,2,17.5,2
"13:30:00 31/05/2012",8.9,2,12.2,2
"13:30:00 31/07/2010",11.052,15,10,2
"13:30:00 31/08/2006",8.275,2,12.8,2
"13:30:00 31/10/2006",8.12,2,17.4,2
"13:31:00 11/01/2009",NA,NA,20.5,2
"13:31:00 14/01/2009",8.837,2,NA,NA
"13:31:00 31/12/2008",7.354,2,NA,NA
"13:32:00 04/01/2009",NA,NA,20.7,2
"13:32:00 05/01/2009",NA,NA,21.7,2
"13:32:00 09/01/2009",9.215,2,NA,NA
"13:32:00 13/01/2009",NA,NA,21.8,2
"13:32:00 14/01/2009",8.738,2,NA,NA
"13:32:00 30/12/2008",7.07,2,NA,NA
"13:32:00 31/12/2008",7.454,2,NA,NA
"13:33:00 01/01/2009",8.939,2,NA,NA
"13:33:00 01/05/2013",9.713,15,12.6,2
"13:33:00 02/01/2009",NA,NA,19.7,2
"13:33:00 02/05/2013",9.876,15,12,2
"13:33:00 03/05/2013",9.939,15,11.5,2
"13:33:00 04/01/2009",NA,NA,20.8,2
"13:33:00 04/05/2013",10.002,15,11.5,2
"13:33:00 05/01/2009",NA,NA,21.8,2
"13:33:00 05/05/2013",9.865,15,11.6,2
"13:33:00 06/05/2013",10.027,15,11.2,2
"13:33:00 07/05/2013",10.09,15,10.9,2
"13:33:00 08/05/2013",10.053,15,11.6,2
"13:33:00 09/01/2009",9.315,2,NA,NA
"13:33:00 09/05/2013",10.416,15,11.4,2
"13:33:00 10/05/2013",10.479,15,11.7,2
"13:33:00 11/05/2013",10.342,15,12.4,2
"13:33:00 12/05/2013",10.305,15,12.4,2
"13:33:00 13/01/2009",NA,NA,21.9,2
"13:33:00 13/05/2013",10.168,15,12.9,2
"13:33:00 14/05/2013",10.33,15,12.1,2
"13:33:00 15/05/2013",10.393,15,12.2,2
"13:33:00 27/12/2008",NA,NA,21.1,2
"13:33:00 30/12/2008",7.17,2,NA,NA
"13:34:00 01/01/2009",8.839,2,NA,NA
"13:34:00 02/01/2009",NA,NA,19.8,2
"13:34:00 15/01/2009",7.722,2,NA,NA
"13:34:00 27/12/2008",NA,NA,21.2,2
"13:35:00 01/01/2009",NA,NA,20.9,2
"13:35:00 02/01/2009",7.823,2,NA,NA
"13:35:00 12/01/2009",NA,NA,21.3,2
"13:35:00 15/01/2009",7.623,2,NA,NA
"13:35:00 31/12/2008",NA,NA,21.3,2
"13:36:00 01/01/2009",NA,NA,21,2
"13:36:00 01/05/2013",9.713,15,12.6,2
"13:36:00 02/01/2009",7.924,2,NA,NA
"13:36:00 02/05/2013",9.876,15,12,2
"13:36:00 03/05/2013",9.939,15,11.5,2
"13:36:00 04/05/2013",10.002,15,11.5,2
"13:36:00 05/05/2013",9.865,15,11.6,2
"13:36:00 06/05/2013",10.028,15,11.2,2
"13:36:00 07/05/2013",10.09,15,10.9,2
"13:36:00 08/05/2013",10.053,15,11.6,2
"13:36:00 09/05/2013",10.416,15,11.4,2
"13:36:00 10/05/2013",10.479,15,11.7,2
"13:36:00 11/05/2013",10.342,15,12.4,2
"13:36:00 12/01/2009",NA,NA,21.4,2
"13:36:00 12/05/2013",10.305,15,12.4,2
"13:36:00 13/05/2013",10.168,15,12.9,2
"13:36:00 14/05/2013",10.331,15,12.1,2
"13:36:00 15/05/2013",10.393,15,12.2,2
"13:36:00 31/05/2012",8.9,2,12.2,2
"13:36:00 31/12/2008",NA,NA,21.4,2
"13:36:26 23/11/2012",NA,180,NA,180
"13:37:00 23/12/2008",NA,NA,21.6,2
"13:38:00 11/01/2009",9.084,2,NA,NA
"13:38:00 15/01/2009",NA,NA,22.6,2
"13:38:00 23/12/2008",NA,NA,21.7,2
"13:38:00 29/12/2008",7.386,2,NA,NA
"13:39:00 01/05/2013",9.713,15,12.6,2
"13:39:00 02/05/2013",9.876,15,12,2
"13:39:00 03/01/2009",NA,NA,20.1,2
"13:39:00 03/05/2013",9.939,15,11.5,2
"13:39:00 04/05/2013",10.002,15,11.5,2
"13:39:00 05/05/2013",9.865,15,11.6,2
"13:39:00 06/05/2013",10.028,15,11.3,2
"13:39:00 07/05/2013",10.091,15,10.9,2
"13:39:00 08/05/2013",10.053,15,11.6,2
"13:39:00 09/05/2013",10.416,15,11.4,2
"13:39:00 10/01/2009",9.8,2,NA,NA
"13:39:00 10/05/2013",10.479,15,11.7,2
"13:39:00 11/01/2009",9.185,2,NA,NA
"13:39:00 11/05/2013",10.342,15,12.4,2
"13:39:00 12/05/2013",10.305,15,12.4,2
"13:39:00 13/05/2013",10.168,15,12.9,2
"13:39:00 14/01/2009",NA,NA,22.9,2
"13:39:00 14/05/2013",10.331,15,12.1,2
"13:39:00 15/01/2009",NA,NA,22.7,2
"13:39:00 15/05/2013",10.394,15,12.2,2
"13:39:00 16/01/2009",NA,NA,21.9,2
"13:39:00 26/12/2008",9.632,100,NA,NA
"13:39:00 29/12/2008",7.486,2,NA,NA
"13:40:00 03/01/2009",NA,NA,20.2,2
"13:40:00 06/01/2009",7.362,2,NA,NA
"13:40:00 09/01/2009",9.316,2,NA,NA
"13:40:00 10/01/2009",9.9,2,NA,NA
"13:40:00 14/01/2009",NA,NA,23,2
"13:40:00 16/01/2009",NA,NA,22,2
"13:40:00 26/12/2008",9.732,100,NA,NA
"13:41:00 06/01/2009",7.262,2,23.1,2
"13:41:00 09/01/2009",9.416,2,20.9,2
"13:41:00 10/01/2009",NA,NA,20.2,2
"13:42:00 01/05/2013",9.713,15,12.6,2
"13:42:00 02/05/2013",9.876,15,12,2
"13:42:00 03/05/2013",9.939,15,11.6,2
"13:42:00 04/05/2013",10.002,15,11.5,2
"13:42:00 05/05/2013",9.865,15,11.6,2
"13:42:00 06/01/2009",NA,NA,23.2,2
"13:42:00 06/05/2013",10.028,15,11.3,2
"13:42:00 07/05/2013",10.091,15,10.9,2
"13:42:00 08/05/2013",10.054,15,11.7,2
"13:42:00 09/01/2009",NA,NA,21,2
"13:42:00 09/05/2013",10.416,15,11.4,2
"13:42:00 10/01/2009",9.9,2,20.3,2
"13:42:00 10/05/2013",10.479,15,11.7,2
"13:42:00 11/05/2013",10.342,15,12.5,2
"13:42:00 12/05/2013",10.305,15,12.4,2
"13:42:00 13/05/2013",10.168,15,12.9,2
"13:42:00 14/05/2013",10.331,15,12.1,2
"13:42:00 15/05/2013",10.394,15,12.2,2
"13:42:00 29/12/2008",NA,NA,23.2,2
"13:43:00 09/01/2009",NA,NA,20.9,2
"13:43:00 10/01/2009",9.8,2,NA,NA
"13:43:00 29/12/2008",NA,NA,23.3,2
"13:44:00 10/01/2009",9.9,2,NA,NA
"13:44:00 12/01/2009",9.769,2,NA,NA
"13:44:00 14/03/2013",7.8,100,21.9,2
"13:45:00 01/01/2013",5.68,2,24.2,2
"13:45:00 01/02/2007",6.625,2,21.5,2
"13:45:00 01/02/2008",5.489,2,22.9,2
"13:45:00 01/02/2011",4.99,100,26.3,2
"13:45:00 01/03/2007",4.767,2,23.9,2
"13:45:00 01/03/2012",7.253,2,20.7,2
"13:45:00 01/05/2007",5.371,2,17.1,2
"13:45:00 01/05/2013",9.714,15,12.6,2
"13:45:00 01/08/2009",9.474,2,11.6,2
"13:45:00 01/09/2006",8.444,2,13.2,2
"13:45:00 01/11/2008",7.313,2,19.3,2
"13:45:00 01/11/2012",7.9,2,19.4,2
"13:45:00 01/12/2012",6.151,2,22.8,2
"13:45:00 02/01/2007",5.479,2,23.6,2
"13:45:00 02/01/2011",6.862,100,23.3,2
"13:45:00 02/02/2007",6.344,2,22.8,2
"13:45:00 02/04/2007",5.687,2,18.2,2
"13:45:00 02/05/2006",8.681,2,14.4,2
"13:45:00 02/05/2013",9.876,15,12,2
"13:45:00 02/08/2006",8.43,2,10.5,2
"13:45:00 02/09/2007",8.777,2,12.5,2
"13:45:00 03/01/2011",6.418,100,23.1,2
"13:45:00 03/02/2007",6.163,2,23.5,2
"13:45:00 03/03/2012",7.148,2,18.3,2
"13:45:00 03/04/2007",5.422,2,18.7,2
"13:45:00 03/04/2010",6.876,2,19.5,2
"13:45:00 03/05/2007",5.19,2,16.6,2
"13:45:00 03/05/2013",9.939,15,11.6,2
"13:45:00 03/10/2006",10.14,2,NA,NA
"13:45:00 03/12/2006",6.084,2,21.1,2
"13:45:00 03/12/2012",5.675,2,23.9,2
"13:45:00 04/01/2007",NA,NA,25.3,2
"13:45:00 04/03/2007",4.216,2,23,2
"13:45:00 04/04/2008",8.208,2,15.9,2
"13:45:00 04/05/2013",10.002,15,11.5,2
"13:45:00 04/09/2006",8.742,2,12.6,2
"13:45:00 04/09/2008",9.107,2,12.6,2
"13:45:00 04/10/2006",10.029,2,16.6,2
"13:45:00 04/12/2007",8.006,2,21.4,2
"13:45:00 05/01/2007",5.291,2,25.8,2
"13:45:00 05/02/2011",5.617,100,23.4,2
"13:45:00 05/02/2012",NA,161,23.4,2
"13:45:00 05/03/2006",NA,180,NA,170
"13:45:00 05/05/2006",8.511,2,14.6,2
"13:45:00 05/05/2013",9.865,15,11.6,2
"13:45:00 05/09/2007",9.104,2,12.1,2
"13:45:00 05/10/2008",NA,NA,16.1,2
"13:45:00 05/11/2008",7.638,2,17.7,2
"13:45:00 06/02/2007",5.42,2,23.2,2
"13:45:00 06/02/2008",4.49,2,25.4,2
"13:45:00 06/03/2007",5.049,2,20.4,2
"13:45:00 06/05/2006",8.354,2,14.9,2
"13:45:00 06/05/2013",10.028,15,11.3,2
"13:45:00 06/08/2006",8.39,2,11.3,2
